Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
top 100 marker genes,Astro_THAL_hab,249,95,26,69,27.37
top 100 marker genes,Astro_HPC,234,88,46,42,52.27
top 100 marker genes,Astro_HYPO,115,88,42,46,47.73
top 100 marker genes,Ext_Amy_2,404,98,91,7,92.86
top 100 marker genes,Ext_Hpc_CA3,143,94,75,19,79.79
top 100 marker genes,Ext_ClauPyr,307,91,60,31,65.93
top 100 marker genes,Oligo_1,214,88,69,19,78.41
top 100 marker genes,Ext_L23,462,98,91,7,92.86
top 100 marker genes,Inh_Meis2_2,285,95,54,41,56.84
top 100 marker genes,Astro_STR,353,96,21,75,21.88
top 100 marker genes,Ext_Med,195,96,43,53,44.79
top 100 marker genes,Astro_THAL_lat,209,87,53,34,60.92
top 100 marker genes,Inh_2,185,99,59,40,59.6
top 100 marker genes,Ext_Pir,455,97,91,6,93.81
top 100 marker genes,Ext_Hpc_DG2,189,98,53,45,54.08
top 100 marker genes,Ext_Unk_2,360,95,40,55,42.11
top 100 marker genes,Inh_4,238,99,45,54,45.45
top 100 marker genes,Ext_L25,481,97,88,9,90.72
top 100 marker genes,Inh_5,197,94,32,62,34.04
top 100 marker genes,Astro_THAL_med,206,87,30,57,34.48
top 100 marker genes,Ext_Thal_1,587,99,81,18,81.82
top 100 marker genes,LowQ_2,335,89,26,63,29.21
top 100 marker genes,Ext_L6,330,97,83,14,85.57
top 100 marker genes,Ext_Hpc_CA1,260,98,80,18,81.63
top 100 marker genes,Inh_Sst,161,97,51,46,52.58
top 100 marker genes,LowQ_1,249,89,57,32,64.04
top 100 marker genes,Oligo_2,58,94,75,19,79.79
top 100 marker genes,Astro_WM,257,93,57,36,61.29
top 100 marker genes,Astro_AMY_CTX,232,90,22,68,24.44
top 100 marker genes,Ext_L5_1,398,98,91,7,92.86
top 100 marker genes,Ext_Amy_1,192,95,72,23,75.79
top 100 marker genes,Ext_Hpc_DG1,147,93,66,27,70.97
top 100 marker genes,Micro,6,99,57,42,57.58
top 100 marker genes,Ext_L5_3,264,93,34,59,36.56
top 100 marker genes,Inh_6,144,94,53,41,56.38
top 100 marker genes,Unk_1,814,94,75,19,79.79
top 100 marker genes,Ext_Unk_3,243,97,41,56,42.27
top 100 marker genes,Nb_1,193,94,12,82,12.77
top 100 marker genes,Inh_Meis2_4,248,93,40,53,43.01
top 100 marker genes,Inh_Lamp5,177,93,39,54,41.94
top 100 marker genes,Inh_Meis2_1,108,95,24,71,25.26
top 100 marker genes,Astro_CTX,46,90,38,52,42.22
top 100 marker genes,Inh_1,453,96,71,25,73.96
top 100 marker genes,Ext_Unk_1,224,96,34,62,35.42
top 100 marker genes,OPC_1,23,94,36,58,38.3
top 100 marker genes,Nb_2,237,92,29,63,31.52
top 100 marker genes,Ext_L56,201,100,75,25,75.0
top 100 marker genes,Ext_L6B,263,97,36,61,37.11
top 100 marker genes,Endo,111,95,22,73,23.16
top 100 marker genes,Inh_3,583,97,47,50,48.45
top 100 marker genes,Ext_L5_2,260,92,55,37,59.78
top 100 marker genes,Astro_AMY,42,87,30,57,34.48
top 100 marker genes,Ext_Hpc_CA2,58,95,54,41,56.84
top 100 marker genes,OPC_2,247,91,47,44,51.65
